14.615,0.200,1.166,2.578,0.058,-0.011,-0.040,96.996,2.135,-0.680,0.245
14.868,0.215,1.171,2.616,0.062,-0.010,-0.044,96.997,2.195,-0.853,0.235
15.119,0.247,1.165,2.671,0.060,-0.010,-0.039,96.989,2.345,-1.195,0.219
15.372,0.284,1.150,2.725,0.055,-0.008,-0.038,96.972,2.486,-1.355,0.226
15.624,0.325,1.130,2.782,0.053,-0.010,-0.036,96.955,2.551,-1.446,0.231
15.875,0.365,1.108,2.836,0.048,-0.010,-0.033,96.918,2.818,-1.909,0.231
16.127,0.408,1.084,2.893,0.042,-0.011,-0.026,96.871,2.824,-1.877,0.241
16.379,0.466,1.048,2.977,0.036,-0.012,-0.029,96.813,3.034,-2.194,0.261
16.631,0.518,1.012,3.067,0.029,-0.014,-0.023,96.733,3.330,-2.611,0.276
16.883,0.552,0.986,3.147,0.026,-0.016,-0.017,96.650,3.482,-2.766,0.295
17.135,0.577,0.967,3.228,0.026,-0.018,-0.016,96.559,3.667,-2.931,0.319
17.387,0.591,0.955,3.310,0.026,-0.019,-0.014,96.460,3.554,-2.810,0.337
17.639,0.596,0.951,3.363,0.031,-0.020,-0.016,96.367,3.500,-2.720,0.341
17.891,0.596,0.952,3.473,0.028,-0.025,-0.026,96.264,3.511,-2.699,0.361
18.143,0.590,0.956,3.540,0.032,-0.021,-0.018,96.133,3.444,-2.641,0.361
18.395,0.575,0.966,3.637,0.032,-0.025,-0.027,96.009,3.397,-2.548,0.384
18.647,0.559,0.979,3.714,0.038,-0.023,-0.024,95.862,3.203,-2.342,0.385
18.899,0.544,0.993,3.780,0.039,-0.024,-0.021,95.726,3.117,-2.273,0.393
19.151,0.530,1.010,3.840,0.042,-0.026,-0.025,95.591,2.982,-2.182,0.399
19.403,0.519,1.029,3.891,0.043,-0.023,-0.024,95.458,2.887,-2.198,0.389
19.655,0.509,1.050,3.938,0.037,-0.025,-0.027,95.327,2.762,-2.143,0.390
19.907,0.502,1.068,3.971,0.036,-0.023,-0.030,95.200,2.596,-2.100,0.389
20.158,0.502,1.068,3.971,0.036,-0.023,-0.030,95.095,2.558,-2.106,0.375
20.410,0.492,1.101,4.020,0.047,-0.024,-0.038,94.973,2.315,-2.040,0.393
20.662,0.493,1.110,4.024,0.045,-0.023,-0.041,94.858,2.527,-2.131,0.383
20.914,0.497,1.112,4.016,0.040,-0.020,-0.042,94.762,2.578,-2.186,0.353
21.165,0.503,1.110,3.995,0.043,-0.021,-0.041,94.681,2.633,-2.256,0.345
21.417,0.512,1.098,3.941,0.032,-0.017,-0.036,94.621,2.681,-2.280,0.337
21.669,0.521,1.080,3.861,0.036,-0.017,-0.032,94.593,2.896,-2.367,0.300
21.921,0.525,1.063,3.771,0.022,-0.013,-0.027,94.588,3.023,-2.379,0.281
22.173,0.526,1.050,3.665,0.039,-0.015,-0.027,94.609,3.064,-2.339,0.255
22.426,0.525,1.039,3.538,0.034,-0.013,-0.025,94.657,3.074,-2.338,0.249
22.677,0.522,1.033,3.394,0.035,-0.011,-0.024,94.735,3.066,-2.296,0.233
22.930,0.519,1.031,3.240,0.037,-0.012,-0.024,94.842,3.036,-2.287,0.227
23.182,0.515,1.033,3.068,0.045,-0.008,-0.022,94.975,2.942,-2.249,0.226
23.433,0.515,1.036,2.893,0.052,-0.011,-0.032,95.130,2.952,-2.288,0.236
23.685,0.517,1.038,2.765,0.042,-0.012,-0.035,95.299,2.979,-2.324,0.243
23.937,0.517,1.038,2.765,0.042,-0.012,-0.035,95.367,2.996,-2.328,0.248
24.188,0.517,1.038,2.765,0.042,-0.012,-0.035,95.397,2.998,-2.328,0.248
24.440,0.533,1.038,2.112,0.022,-0.018,-0.024,95.808,2.995,-2.443,0.282
24.692,0.528,1.037,1.902,0.032,-0.026,-0.038,96.194,3.045,-2.276,0.339
24.944,0.520,1.030,1.698,0.035,-0.022,-0.033,96.516,3.094,-2.185,0.369
25.196,0.510,1.016,1.480,0.037,-0.023,-0.029,96.842,3.246,-2.174,0.399
25.448,0.498,0.996,1.273,0.028,-0.024,-0.033,97.184,3.414,-2.055,0.410
25.700,0.486,0.974,1.081,0.033,-0.025,-0.031,97.486,3.450,-2.001,0.385
25.952,0.471,0.953,0.924,0.033,-0.024,-0.031,97.861,3.550,-1.953,0.383
26.204,0.456,0.930,0.779,0.037,-0.024,-0.036,98.225,3.621,-1.886,0.401
26.456,0.435,0.895,0.602,0.042,-0.025,-0.030,98.587,3.818,-1.757,0.385
26.708,0.426,0.874,0.536,0.054,-0.021,-0.033,98.925,3.912,-1.742,0.369
26.960,0.422,0.829,0.487,0.062,-0.031,-0.035,99.223,4.228,-1.671,0.419
