12.847,-0.197,3.611,1.197,0.062,1.601,-0.031,87.994,6.196,0.696,0.503,1.222,153.008,-1.803
13.099,-0.200,3.614,1.171,0.070,1.601,-0.032,88.044,6.225,0.607,0.496,1.203,155.015,-1.829
13.351,-0.204,3.612,1.136,0.062,1.600,-0.041,88.098,6.283,0.478,0.482,1.178,157.047,-1.864
13.602,-0.210,3.603,1.097,0.070,1.601,-0.040,88.156,6.404,0.124,0.493,1.147,159.110,-1.903
13.854,-0.217,3.591,1.054,0.055,1.612,-0.024,88.217,6.520,-0.156,0.419,1.111,161.211,-1.946
14.106,-0.224,3.576,1.010,0.053,1.611,-0.029,88.282,6.633,-0.432,0.370,1.071,163.355,-1.990
14.358,-0.231,3.563,0.961,0.055,1.607,-0.033,88.349,6.699,-0.598,0.401,1.028,165.545,-2.039
14.610,-0.236,3.555,0.914,0.045,1.616,-0.022,88.418,6.730,-0.688,0.334,0.983,167.785,-2.086
14.862,-0.236,3.550,0.871,0.052,1.612,-0.026,88.488,6.657,-0.664,0.336,0.938,170.075,-2.129
15.114,-0.232,3.550,0.833,0.046,1.615,-0.023,88.558,6.524,-0.565,0.327,0.895,172.416,-2.167
15.366,-0.225,3.554,0.806,0.051,1.614,-0.026,88.626,6.286,-0.429,0.314,0.857,174.802,-2.194
15.617,-0.216,3.561,0.789,0.052,1.616,-0.029,88.691,6.132,-0.199,0.314,0.827,177.226,-2.211
15.869,-0.204,3.567,0.784,0.062,1.617,-0.024,88.750,5.905,-0.114,0.312,0.806,179.679,-2.216
16.122,-0.193,3.568,0.789,0.069,1.615,-0.033,88.805,5.734,-0.204,0.323,0.796,182.150,-2.211
16.374,-0.180,3.563,0.806,0.063,1.615,-0.030,88.856,5.504,-0.449,0.322,0.797,184.791,-2.194
16.625,-0.170,3.550,0.833,0.065,1.614,-0.037,88.897,5.388,-0.789,0.333,0.809,187.260,-2.167
16.877,-0.164,3.532,0.867,0.056,1.616,-0.041,88.933,5.318,-1.215,0.326,0.830,189.710,-2.133
17.130,-0.163,3.511,0.906,0.052,1.613,-0.043,88.964,5.451,-1.567,0.326,0.859,192.131,-2.094
17.382,-0.168,3.493,0.950,0.044,1.616,-0.038,88.990,5.613,-1.809,0.320,0.895,194.516,-2.050
17.633,-0.173,3.480,0.994,0.048,1.619,-0.023,89.014,5.718,-1.948,0.302,0.934,196.859,-2.006
17.885,-0.179,3.474,1.037,0.045,1.614,-0.031,89.035,5.779,-1.831,0.293,0.975,199.156,-1.963
18.137,-0.180,3.473,1.078,0.047,1.618,-0.021,89.055,5.746,-1.742,0.309,1.017,201.406,-1.922
18.389,-0.176,3.476,1.119,0.054,1.615,-0.028,89.075,5.550,-1.629,0.287,1.059,203.609,-1.881
18.641,-0.168,3.481,1.159,0.052,1.614,-0.034,89.094,5.338,-1.454,0.341,1.100,205.766,-1.841
18.893,-0.158,3.484,1.193,0.062,1.619,-0.033,89.113,5.154,-1.457,0.320,1.138,207.878,-1.807
19.145,-0.149,3.486,1.220,0.063,1.616,-0.037,89.134,5.007,-1.487,0.304,1.173,209.948,-1.780
19.397,-0.142,3.481,1.241,0.065,1.619,-0.042,89.157,4.963,-1.670,0.289,1.202,211.983,-1.759
19.648,-0.140,3.474,1.254,0.059,1.620,-0.045,89.183,5.017,-1.895,0.274,1.225,213.988,-1.746
19.900,-0.145,3.463,1.262,0.053,1.621,-0.048,89.213,5.268,-2.171,0.266,1.242,215.972,-1.738
20.153,-0.157,3.451,1.262,0.059,1.623,-0.042,89.245,5.580,-2.346,0.257,1.252,217.939,-1.738
